r,model,subject,channel
0.032329659510754616,model4,S0007,ASF-AI2
0.15626712205322374,model1,S0007,ASF-AI3
0.02259343471655546,model4,S0007,ASF-AI3
0.1550710816405583,model1,S0007,ASF-AI4
0.02220719866484221,model4,S0007,ASF-AI4
0.10100520162719774,model1,S0007,ASF-AI5
0.04495770984140951,model4,S0007,ASF-AI5
0.1309655390763194,model1,S0007,ASF-AI6
0.05208095447033269,model4,S0007,ASF-AI6
0.1733816986264609,model1,S0007,ASF-AI7
-0.04538388762912818,model4,S0007,ASF-AI7
0.2034166496499222,model1,S0007,ASF-AI8
-0.04529925874101783,model4,S0007,ASF-AI8
0.08854753906689421,model1,S0007,ASF-AI9
0.00704540707408013,model4,S0007,ASF-AI9
0.1353440254515539,model1,S0007,ASF-AI10
0.06298976118442758,model4,S0007,ASF-AI10
0.2260111924883558,model1,S0007,ASF-AI11
0.0627643267024873,model4,S0007,ASF-AI11
0.10698489196521364,model1,S0007,ASF-AI12
0.01957837229016008,model4,S0007,ASF-AI12
0.11653059746955162,model1,S0007,ASF-AI13
0.021423131828719646,model4,S0007,ASF-AI13
0.05282355216827653,model1,S0007,ASF-AI14
0.006060135390907892,model4,S0007,ASF-AI14
0.13108470731220487,model1,S0007,ASF-AI15
0.021276857174520214,model4,S0007,ASF-AI15
0.13920644703739862,model1,S0007,ASF-AI16
0.049749224635652574,model4,S0007,ASF-AI16
0.1398797396627562,model1,S0007,PSF-PI1
0.12136760102304847,model4,S0007,PSF-PI1
0.1827129651309038,model1,S0007,PSF-PI2
0.17063680297237666,model4,S0007,PSF-PI2
0.3084814962747381,model1,S0007,PSF-PI3
0.2533463150018248,model4,S0007,PSF-PI3
0.3875963333301449,model1,S0007,PSF-PI4
0.29617106055287656,model4,S0007,PSF-PI4
0.3759015064795892,model1,S0007,PSF-PI5
0.2807028512309972,model4,S0007,PSF-PI5
0.2876805549557145,model1,S0007,PSF-PI6
0.1853059959643852,model4,S0007,PSF-PI6
0.30884101771300426,model1,S0007,PSF-PI7
0.082387575435642,model4,S0007,PSF-PI7
0.3940272154626545,model1,S0007,PSF-PI8
0.10454503600174696,model4,S0007,PSF-PI8
0.3544935088227072,model1,S0007,PSF-PI9
0.09162258004780817,model4,S0007,PSF-PI9
0.5440744701558083,model1,S0007,PSF-PI10
0.14425475587689016,model4,S0007,PSF-PI10
0.4473581500070167,model1,S0007,PSF-PI11
0.10279143257445933,model4,S0007,PSF-PI11
0.12330280594545805,model1,S0007,PSF-PI12
0.015104852470941347,model4,S0007,PSF-PI12
0.09520122483303864,model1,S0007,PSF-PI13
0.054203907143247014,model4,S0007,PSF-PI13
0.0956485339091438,model1,S0007,PSF-PI14
0.0047112238013279975,model4,S0007,PSF-PI14
0.0410112375962343,model1,S0007,PSF-PI15
-0.007642440704774511,model4,S0007,PSF-PI15
0.22870254001378945,model1,S0007,MMF-PL1
0.06309486696292523,model4,S0007,MMF-PL1
0.1559707370951726,model1,S0007,MMF-PL2
0.07863945913663624,model4,S0007,MMF-PL2
0.01827440818855964,model1,S0007,MMF-PL3
0.004459474527339512,model4,S0007,MMF-PL3
0.02805492932112192,model1,S0007,MMF-PL4
0.027386592378952343,model4,S0007,MMF-PL4
0.010769909670031415,model1,S0007,MMF-PL5
0.020967316768568414,model4,S0007,MMF-PL5
0.0030054122348178213,model1,S0007,MMF-PL6
-0.0062221656618216105,model4,S0007,MMF-PL6
-0.004770688861884453,model1,S0007,MMF-PL7
-0.014993527633338503,model4,S0007,MMF-PL7
0.020600045831565,model1,S0007,MMF-PL8
-0.002842231421071907,model4,S0007,MMF-PL8
-0.0003366396949403417,model1,S0007,MMF-PL9
-0.005058850401353029,model4,S0007,MMF-PL9
0.2785433280716025,model1,S0007,MMF-PL10
0.11582714740202253,model4,S0007,MMF-PL10
0.2428306329306293,model1,S0007,AMF-AI1
0.07574809799650355,model4,S0007,AMF-AI1
0.0843259174613907,model1,S0007,AMF-AI3
0.08548385603792645,model4,S0007,AMF-AI3
0.13887798615441746,model1,S0007,AMF-AI4
0.08856920660317946,model4,S0007,AMF-AI4
0.15978794543555638,model1,S0007,AMF-AI5
0.1061463347946272,model4,S0007,AMF-AI5
0.04610609398390551,model1,S0007,AMF-AI6
0.0212993323106244,model4,S0007,AMF-AI6
0.02814759497779213,model1,S0007,AMF-AI7
-0.00713844237317305,model4,S0007,AMF-AI7
0.2720049976702044,model1,S0007,AMF-AI8
0.0879316245209826,model4,S0007,AMF-AI8
0.2562829195145973,model1,S0007,LMF-PV1
0.061939091217357474,model4,S0007,LMF-PV1
0.4279048951497993,model1,S0007,LMF-PV2
0.12910213761424025,model4,S0007,LMF-PV2
0.4454532180467823,model1,S0007,LMF-PV3
0.14294354614481594,model4,S0007,LMF-PV3
0.4512120792677705,model1,S0007,LMF-PV4
0.14047650773914172,model4,S0007,LMF-PV4
0.4371844119539863,model1,S0007,LMF-PV5
0.1414733822328028,model4,S0007,LMF-PV5
0.4056250703899453,model1,S0007,LMF-PV6
0.13371385295185284,model4,S0007,LMF-PV6
0.35276364841648983,model1,S0007,LMF-PV7
0.10832885085202712,model4,S0007,LMF-PV7
0.3232846516966037,model1,S0007,LMF-PV8
0.09264147371455543,model4,S0007,LMF-PV8
0.2578373920918699,model1,S0007,LMF-PV9
0.07443282534992547,model4,S0007,LMF-PV9
0.2095550887337793,model1,S0007,LMF-PV10
0.05365070621147034,model4,S0007,LMF-PV10
-0.01470621380447981,model1,S0010,LAC1
0.011494350371406977,model4,S0010,LAC1
0.04774485324863725,model1,S0010,LAC2
0.02493010604606604,model4,S0010,LAC2
0.06003661220722537,model1,S0010,LAC3
0.0127029358274069,model4,S0010,LAC3
0.018901593743622932,model1,S0010,LAC4
0.012407744000215512,model4,S0010,LAC4
0.08892741388224397,model1,S0010,LAC5
0.03249362440473494,model4,S0010,LAC5
0.07118593108532098,model1,S0010,LAC6
0.026764635508206663,model4,S0010,LAC6
0.029569027786032164,model1,S0010,LAC7
0.06275909802548676,model4,S0010,LAC7
0.03090151080577952,model1,S0010,LAC8
0.06946678236096229,model4,S0010,LAC8
0.04187001245815796,model1,S0010,LAC9
0.06820491366134808,model4,S0010,LAC9
0.048007617680568486,model1,S0010,LAC10
0.0725463192791741,model4,S0010,LAC10
0.009839992977328998,model1,S0010,LAH1
0.003386404141516448,model4,S0010,LAH1
0.03836973580672297,model1,S0010,LAH2
0.004266645626496915,model4,S0010,LAH2
0.03288442234888378,model1,S0010,LAH3
-0.00816360226852288,model4,S0010,LAH3
-0.002034080380129687,model1,S0010,LAH4
-0.012898213326936995,model4,S0010,LAH4
-0.01858326292060763,model1,S0010,LAH5
-0.01293374317049747,model4,S0010,LAH5
0.019855849470522074,model1,S0010,LAH6
-0.0032853025223773336,model4,S0010,LAH6
0.041026239241943284,model1,S0010,LAH7
-0.006951606479410416,model4,S0010,LAH7
0.09961833280715213,model1,S0010,LAH8
0.028452750244132605,model4,S0010,LAH8
0.029214609115668838,model1,S0010,LAH9
-0.023318862110792444,model4,S0010,LAH9
-0.057965254856789314,model1,S0010,LAH10
