subj,elec,elec_type,roi,roi_condensed,window,si
S0006,RPPST8,dual_onset,ctx_rh_S_temporal_sup,STS,sustained,0.18814254924644147
S0006,RPPST9,dual_onset,ctx_rh_S_temporal_sup,STS,onset,0.4151660437004654
S0006,RPPST9,dual_onset,ctx_rh_S_temporal_sup,STS,sustained,0.3778044772302549
S0006,RPPST10,spkr_only,ctx_rh_S_temporal_sup,STS,onset,0.5624865682973579
S0006,RPPST10,spkr_only,ctx_rh_S_temporal_sup,STS,sustained,0.3617255491215272
S0006,RPPST11,spkr_only,Right-Cerebral-White-Matter,wm,onset,0.5466510710106536
S0006,RPPST11,spkr_only,Right-Cerebral-White-Matter,wm,sustained,0.3793811903020181
S0006,RPPST13,spkr_only,ctx_rh_G_temporal_middle,MTG,onset,0.6553191208056748
S0006,RPPST13,spkr_only,ctx_rh_G_temporal_middle,MTG,sustained,0.4145075221110379
S0006,RPPST14,spkr_only,ctx_rh_G_temporal_middle,MTG,onset,0.6327695569047318
S0006,RPPST14,spkr_only,ctx_rh_G_temporal_middle,MTG,sustained,0.4185463878915059
S0006,RPPST15,spkr_only,ctx_rh_G_temporal_middle,MTG,onset,0.5552433031565913
S0006,RPPST15,spkr_only,ctx_rh_G_temporal_middle,MTG,sustained,0.30229547766786413
S0006,RPPST16,no_onset,ctx_rh_G_temporal_middle,MTG,onset,-0.039484923787977744
S0006,RPPST16,no_onset,ctx_rh_G_temporal_middle,MTG,sustained,-0.22142636844552555
S0006,RAIF1,mic_only,ctx_rh_G_insular_short,insula_ant,onset,0.020928991820814202
S0006,RAIF1,mic_only,ctx_rh_G_insular_short,insula_ant,sustained,0.13999506806560125
S0006,RAIF2,dual_onset,ctx_rh_G_insular_short,insula_ant,onset,0.14342392098065448
S0006,RAIF2,dual_onset,ctx_rh_G_insular_short,insula_ant,sustained,0.22395444658991703
S0006,RAIF3,no_onset,ctx_rh_G_front_inf-Orbital,IFG,onset,0.1461947522197704
S0006,RAIF3,no_onset,ctx_rh_G_front_inf-Orbital,IFG,sustained,0.14966667812376588
S0006,RAIF4,no_onset,ctx_rh_G_front_inf-Orbital,IFG,onset,0.38295541771251607
S0006,RAIF4,no_onset,ctx_rh_G_front_inf-Orbital,IFG,sustained,0.18476273177113955
S0006,RAIF5,no_onset,ctx_rh_G_front_inf-Orbital,IFG,onset,0.5820780200959357
S0006,RAIF5,no_onset,ctx_rh_G_front_inf-Orbital,IFG,sustained,0.2889238856199514
S0006,RAIF6,no_onset,ctx_rh_G_front_inf-Triangul,IFG,onset,0.44161592670591254
S0006,RAIF6,no_onset,ctx_rh_G_front_inf-Triangul,IFG,sustained,0.3677536599641269
