subject,channel
S0023,AMT-AMG1
S0023,AMT-AMG2
S0023,AMT-AMG3
S0023,AMT-AMG4
S0023,AMT-AMG5
S0023,AMT-AMG11
S0023,PST-HG1
S0023,PST-HG2
S0023,PST-HG3
S0023,PST-HG4
S0023,PST-HG5
S0023,PST-HG7
S0023,PST-HG8
S0023,PST-HG14
S0024,'AIF-OF1
S0024,'AIF-OF2
S0024,'AIF-OF3
S0024,'AIF-OF4
S0024,'AIF-OF5
S0024,'AIF-OF6
S0024,'AIF-OF7
S0024,'AIF-OF8
S0024,'AIF-OF9
S0024,'AIF-OF10
S0024,'AIF-OF11
S0024,'AMF-POF9
S0024,'AMF-POF10
S0024,'AMF-POF11
S0024,'AMF-POF12
S0024,'AMF-POF13
S0024,'AMF-POF14
S0024,'MIF-ASI1
S0024,'MIF-ASI3
S0024,'MIF-ASI4
S0024,'MIF-ASI5
S0024,'MIF-ASI6
S0024,'PIF-MAI10
S0024,'ASF-AC1
S0024,'ASF-AC4
S0024,'ASF-AC5
S0024,'ASF-AC6
S0024,'ASF-AC7
S0024,'ASF-AC8
S0024,'ASF-AC9
S0024,'ASF-AC10
S0024,'ASF-AC11
S0024,'ASF-AC12
S0024,'ASF-AC14
S0024,'MSF-AC1
S0024,'MSF-AC2
S0024,'MSF-AC3
S0024,'MSF-AC4
S0024,'MSF-AC5
S0024,'MSF-AC6
S0024,'MSF-AC7
S0024,'MSF-AC8
S0024,'PSF-MC3
S0024,'PSF-MC4
S0024,'PSF-MC5
S0024,'PSF-MC6
S0024,'PSF-MC7
S0024,'PSF-MC8
S0024,'PSF-MC9
S0024,'PSF-MC10
S0024,'PMF-MMI6
S0024,'PMF-MMI7
S0024,'PMF-MMI8
S0024,'PMF-MMI9
S0024,'PMF-MMI10
S0024,'PMF-MMI11
S0024,'PMF-MMI12
S0024,'PMF-MMI13
S0024,'PMF-MMI14
S0024,'PMF-MC1
S0024,'PMF-MC5
S0024,'PMF-MC6
S0024,'PMF-MC7
S0024,'PMF-MC8
S0024,'PMF-MC9
S0024,'PMF-MC10
S0024,'MST-AMG1
S0024,'MST-AMG8
S0024,'MST-AMG11
S0024,'MST-AMG12
S0026,'AIF-OF1
S0026,'AIF-OF2
S0026,'AIF-OF3
S0026,'AIF-OF4
S0026,'AIF-OF5
S0026,'AIF-OF6
S0026,'AIF-OF7
S0026,'AIF-OF8
S0026,'AIF-OF9
S0026,'AIF-OF10
S0026,'AIF-OF11
S0026,'AIF-AI3
S0026,'AIF-AI4
S0026,'AIF-AI5
S0026,'AIF-AI6
S0026,'AIF-AI8
S0026,'PIF-PAI1
S0026,'PIF-PAI2
S0026,'MMF-AC1
S0026,'MMF-AC2
S0026,'MMF-AC3
S0026,'MMF-AC4
S0026,'MMF-AC5
S0026,'MMF-AC6
S0026,'MMF-AC7
S0026,'PSF-MC1
S0026,'PSF-MC6
S0026,'PSF-MC7
S0026,'PSF-MC8
S0026,'PSF-MC9
S0026,'PSF-MC10
S0026,'PSF-MC11
S0026,'PSF-MC12
S0026,'PSP-LG2
S0026,'PSP-LG3
S0026,'PSP-LG4
S0026,'PSP-LG5
S0026,'PSP-LG6
S0026,'PSP-LG7
S0026,'PSP-LG8
S0026,'PSP-LG10
S0026,'PSP-LG13
S0026,'PSP-LG14
S0026,'PSP-LG15
S0026,'PSP-LG16
S0026,'AIT-AMG1
S0026,'AIT-AMG3
S0026,'AIT-AMG4
S0026,'MMT-AH5
S0026,'MMT-AH9
S0026,'MMT-AH10
S0026,'PST-PH4
S0026,'PST-PH5
S0026,'PST-PH8
S0026,'PST-PH9
S0026,'PST-PH15
S0026,'PST-PH16
TCH06,RPILG1
TCH06,RPILG2
TCH06,RPILG3
TCH06,RPILG7
TCH06,RPILG8
TCH06,RPILG9
TCH06,RPILG10
TCH06,RPILG11
TCH06,RPILG12
TCH06,RPILG13
TCH06,RPILG14
TCH06,LOT1
TCH06,LOT2
TCH06,LOT3
TCH06,LOT4
TCH06,LOT5
TCH06,LOT6
TCH06,LOT7
TCH06,LOT8
TCH06,LOT9
TCH06,ROT2
TCH06,ROT3
TCH06,ROT4
TCH06,ROT5
TCH06,ROT6
TCH06,ROT7
TCH06,ROT8
TCH06,ROT9
TCH06,ROT10
TCH06,ROT11
TCH06,ROT12
TCH06,ROT13
TCH06,ROT14
TCH06,RCMN1
TCH06,RCMN6
TCH06,RCMN7
TCH06,RCMN8
TCH06,RCMN9
TCH06,RCMN10
TCH06,RCMN11
TCH06,RCMN12
TCH06,RCMN13
TCH06,RCMN14
TCH06,RANT3
TCH06,RANT7
TCH06,RANT12
TCH06,RANT13
TCH06,RANT14
TCH06,RAISG5
TCH06,RAISG6
TCH06,RAISG7
TCH06,RAISG8
TCH06,RAISG9
TCH06,RAISG10
TCH06,RAISG11
TCH06,RAISG12
TCH06,RFP1
TCH06,RFP2
TCH06,RFP3
TCH06,RFP4
TCH06,RFP5
TCH06,RFP6
TCH06,RFP7
TCH06,RFP8
TCH06,RFP9
TCH06,RFP10
TCH06,RFP11
TCH06,RFP12
TCH06,RACING6
TCH06,RACING7
TCH06,RACING9
TCH06,RACING10
TCH06,RSF7
TCH06,RSF8
TCH06,RMF7
TCH06,RMF8
TCH06,RPOP6
TCH06,RFEF3
TCH06,RFEF4
TCH06,RFEF5
TCH06,RFEF6
TCH06,RSTS2
TCH06,RSTS3
TCH06,RSTS4
TCH06,RSTS6
TCH06,RML2
TCH06,RML6
TCH06,RSMG1
TCH06,RSMG2
TCH06,RSMG6
TCH06,RFOP1
TCH06,RFOP2
TCH06,RFOP3
TCH06,RFOP4
TCH06,RFOP6
TCH06,RMH2
TCH06,RMH5
TCH06,RMH6
TCH06,RSL1
TCH06,RSL2
TCH06,RSL4
TCH06,RSL5
TCH06,RSL6
TCH06,RSMA1
TCH06,RSMA2
TCH06,RSMA3
TCH06,RSMA4
TCH06,RSMA5
TCH06,RSMA6
TCH06,RSH4
TCH14,ROT2
TCH14,ROT3
TCH14,ROT4
TCH14,ROT5
TCH14,ROT6
TCH14,ROT7
TCH14,ROT8
TCH14,ROT9
TCH14,ROT10
TCH14,ROT11
TCH14,ROT12
TCH14,LOT1
TCH14,LOT2
TCH14,LOT3
TCH14,LOT6
TCH14,LOT7
TCH14,LOT8
TCH14,LOT9
TCH14,LOT11
TCH14,LOT13
TCH14,LPILG2
TCH14,LPILG3
TCH14,LPILG4
